Time,X,Y
3.316666666666667140e+01,3.492342834472656250e+02,3.222302856445312500e+02
3.320833333333333570e+01,3.494208374023437500e+02,3.012620849609375000e+02
3.325000000000000000e+01,3.466485900878906250e+02,2.997870178222656250e+02
3.329166666666667140e+01,3.374227294921875000e+02,2.996983947753906250e+02
3.333333333333333570e+01,3.386771240234375000e+02,2.994108581542968750e+02
3.337500000000000000e+01,3.386914978027343750e+02,2.997668151855468750e+02
3.341666666666667140e+01,3.759999084472656250e+02,3.050889282226562500e+02
3.345833333333333570e+01,2.775022888183593750e+02,3.056910400390625000e+02
3.350000000000000000e+01,2.763923950195312500e+02,3.053045349121093750e+02
3.354166666666667140e+01,2.768362426757812500e+02,3.049556274414062500e+02
3.358333333333333570e+01,2.787417297363281250e+02,3.050475769042968750e+02
3.362500000000000000e+01,2.792712707519531250e+02,3.053194274902343750e+02
3.366666666666667140e+01,2.578087463378906250e+02,3.142232360839843750e+02
3.370833333333333570e+01,3.382925720214843750e+02,2.997675170898437500e+02
3.375000000000000000e+01,3.376313781738281250e+02,2.985148315429687500e+02
3.379166666666667140e+01,3.412474365234375000e+02,2.976546325683593750e+02
3.383333333333333570e+01,3.492827453613281250e+02,2.983952331542968750e+02
3.387500000000000000e+01,3.501301574707031250e+02,2.977927246093750000e+02
3.391666666666667140e+01,3.488652954101562500e+02,3.219271240234375000e+02
3.395833333333333570e+01,3.482833557128906250e+02,2.984515380859375000e+02
3.400000000000000000e+01,3.418553771972656250e+02,2.970263977050781250e+02
3.404166666666667140e+01,3.467885437011718750e+02,3.234989624023437500e+02
3.408333333333333570e+01,3.406587219238281250e+02,2.974581298828125000e+02
